,host_response_rate,availability_365,neighbourhood_group,host_is_superhost,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,amenities,instant_bookable,bathrooms
317,100.0,282,Tempelhof - Schöneberg,t,Entire home/apt,4,Entire home/apt,1.0,2.0,69.0,4,97.0,16,f,1.0
322,100.0,287,Pankow,t,Entire home/apt,6,Entire home/apt,2.0,0.0,109.0,3,97.0,28,f,1.0
328,100.0,330,Mitte,t,Entire home/apt,4,Entire home/apt,1.0,2.0,53.0,2,96.0,16,t,1.0
329,100.0,310,Mitte,t,Entire home/apt,5,Entire home/apt,1.0,3.0,74.0,2,95.0,18,t,1.0
332,100.0,365,Pankow,f,Private room,3,Private room,1.0,2.0,23.0,2,92.0,17,f,2.0
340,0.0,305,Mitte,f,Entire home/apt,5,Entire home/apt,3.0,5.0,130.0,5,100.0,33,f,2.0
344,100.0,258,Pankow,f,Entire home/apt,5,Entire home/apt,3.0,5.0,180.0,2,94.0,23,f,1.5
352,100.0,360,Pankow,t,Entire home/apt,6,Entire home/apt,2.0,3.0,139.0,1,95.0,40,f,1.0
359,100.0,275,Pankow,f,Entire home/apt,3,Entire home/apt,2.0,2.0,140.0,7,99.0,22,f,2.0
360,100.0,355,Neukölln,t,Entire home/apt,4,Entire home/apt,1.0,1.0,79.0,3,96.0,18,t,1.0
368,100.0,77,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,101.0,28,100.0,29,f,1.0
369,100.0,332,Pankow,t,Entire home/apt,12,Entire home/apt,4.0,6.0,179.0,3,98.0,28,t,2.0
370,0.0,364,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,95.0,3,97.0,6,f,1.0
374,88.0,331,Tempelhof - Schöneberg,t,Entire home/apt,5,Entire home/apt,2.0,3.0,245.0,4,99.0,37,f,2.5
375,100.0,101,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,1.0,1.0,60.0,3,92.0,20,f,0.0
378,100.0,286,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,3.0,59.0,14,89.0,15,f,1.0
380,100.0,317,Treptow - Köpenick,f,Entire home/apt,4,Entire home/apt,1.0,0.0,53.0,3,100.0,37,t,1.0
381,75.0,66,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,76.0,10,97.0,31,f,1.0
388,100.0,250,Pankow,t,Entire home/apt,4,Entire home/apt,1.0,2.0,68.0,2,92.0,19,t,1.0
398,0.0,354,Mitte,f,Entire home/apt,5,Entire home/apt,2.0,3.0,120.0,3,93.0,12,f,1.5
401,100.0,317,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,1.0,69.0,3,88.0,5,f,0.0
425,100.0,72,Mitte,t,Entire home/apt,6,Entire home/apt,1.0,2.0,70.0,3,97.0,33,f,1.0
430,100.0,318,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,3.0,77.0,29,95.0,32,f,2.0
433,100.0,309,Friedrichshain-Kreuzberg,f,Entire home/apt,6,Entire home/apt,3.0,3.0,75.0,3,95.0,23,f,1.0
440,100.0,361,Pankow,t,Entire home/apt,3,Entire home/apt,1.0,2.0,80.0,4,95.0,29,f,1.0
444,69.0,179,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,2.0,40.0,20,95.0,7,f,1.0
453,0.0,321,Pankow,f,Private room,4,Private room,2.0,2.0,46.0,1,90.0,11,f,0.0
458,86.0,164,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,35.0,3,89.0,1,f,1.0
