neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Neuköllner Mitte/Zentrum,Neukölln,3,Private room,0,1,3,47,85,349,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,4,72,98,284,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,1,6,65,89,361,t
Blankenburg/Heinersdorf/Märchenland,Pankow,6,Entire home/apt,1,2,6,55,88,333,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,79,97,235,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Private room,0,2,2,64,95,77,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Private room,1,1,2,32,95,304,f
Prenzlauer Berg Ost,Pankow,3,Entire home/apt,1,1,0,65,93,251,f
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,69,97,282,f
Prenzlauer Berg Südwest,Pankow,6,Entire home/apt,1,2,0,109,97,287,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,2,53,96,330,t
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,1,3,74,95,310,t
Karow,Pankow,3,Private room,2,1,2,23,92,365,f
Brunnenstr. Süd,Mitte,5,Entire home/apt,2,3,5,130,100,305,f
Helmholtzplatz,Pankow,5,Entire home/apt,1.5,3,5,180,94,258,f
Helmholtzplatz,Pankow,6,Entire home/apt,1,2,3,139,95,360,f
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,2,2,2,140,99,275,f
Schillerpromenade,Neukölln,4,Entire home/apt,1,1,1,79,96,355,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,2,101,100,77,f
Helmholtzplatz,Pankow,12,Entire home/apt,2,4,6,179,98,332,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,95,97,364,f
Schöneberg-Süd,Tempelhof - Schöneberg,5,Entire home/apt,2.5,2,3,245,99,331,f
Tempelhof,Tempelhof - Schöneberg,4,Entire home/apt,0,1,1,60,92,101,f
Prenzlauer Berg Nordwest,Pankow,3,Entire home/apt,1,1,3,59,89,286,f
Rahnsdorf/Hessenwinkel,Treptow - Köpenick,4,Entire home/apt,1,1,0,53,100,317,t
Alexanderplatz,Mitte,4,Entire home/apt,1,2,2,76,97,66,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,1,2,68,92,250,t
Brunnenstr. Nord,Mitte,5,Entire home/apt,1.5,2,3,120,93,354,f
Kurfürstendamm,Charlottenburg-Wilm.,4,Entire home/apt,0,1,1,69,88,317,f
Moabit Ost,Mitte,6,Entire home/apt,1,1,2,70,97,72,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,2,1,3,77,95,318,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,3,3,75,95,309,f
Prenzlauer Berg Ost,Pankow,3,Entire home/apt,1,1,2,80,95,361,f
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,40,95,179,f
Prenzlauer Berg Südwest,Pankow,4,Private room,0,2,2,46,90,321,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,35,89,164,f
Helmholtzplatz,Pankow,4,Entire home/apt,1.5,1,1,100,96,311,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,150,100,291,f
Schillerpromenade,Neukölln,5,Entire home/apt,1,2,4,100,93,36,f
Tiergarten Süd,Mitte,8,Entire home/apt,2,3,4,98,95,284,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,70,92,90,f
Albrechtstr.,Steglitz - Zehlendorf,9,Entire home/apt,1.5,4,7,120,98,288,f
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,1,4,59,89,357,f
Brunnenstr. Süd,Mitte,3,Private room,1.5,1,2,106,94,365,f
Rixdorf,Neukölln,3,Entire home/apt,0,1,2,43,98,353,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,52,95,262,f
Prenzlauer Berg Nordwest,Pankow,3,Entire home/apt,1,1,2,107,98,326,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,2,2,59,93,292,t
Schillerpromenade,Neukölln,4,Entire home/apt,1,2,1,63,83,269,f
Ost 1,Reinickendorf,6,Entire home/apt,1.5,2,2,60,94,365,f
Rixdorf,Neukölln,4,Entire home/apt,1,1,1,68,97,192,t
Britz,Neukölln,4,Entire home/apt,1,2,3,199,100,344,t
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,4,75,91,269,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,159,0,365,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,8,Entire home/apt,2,4,4,455,96,323,f
Nord 2,Reinickendorf,3,Entire home/apt,1,2,2,42.71,91,345,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,79,96,298,f
Rixdorf,Neukölln,4,Entire home/apt,1,1,3,69,96,79,t
Helmholtzplatz,Pankow,6,Entire home/apt,1,2,3,76,90,236,t
Rixdorf,Neukölln,5,Entire home/apt,1,2,2,65,94,348,f
Alexanderplatz,Mitte,3,Entire home/apt,1,1,2,84,99,63,f
Pankow Zentrum,Pankow,6,Private room,0,3,3,500,97,365,f
Moabit West,Mitte,4,Entire home/apt,1,1,1,61,85,346,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,2,1,2,84,98,320,f
Rixdorf,Neukölln,4,Entire home/apt,1,2,4,69,91,167,t
Halensee,Charlottenburg-Wilm.,3,Entire home/apt,1,2,2,119,82,364,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Private room,0,1,1,31,96,326,f
Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,70,93,77,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,72,100,256,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,3,107,99,293,t
Schillerpromenade,Neukölln,5,Private room,2,1,0,95,97,41,f
Alt-Hohenschönhausen Nord,Lichtenberg,3,Private room,0,1,2,32,95,361,t
MV 1,Reinickendorf,10,Entire home/apt,1,3,9,141,83,291,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,60,96,343,t
Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,69,92,319,t
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,3,6,86,96,301,f
Alexanderplatz,Mitte,8,Entire home/apt,1.5,3,6,72,85,322,t
Heerstrasse,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,27,91,288,f
Westend,Charlottenburg-Wilm.,3,Entire home/apt,1,2,3,57,97,202,f
Alexanderplatz,Mitte,5,Entire home/apt,1,1,3,139,99,179,f
Moabit West,Mitte,6,Entire home/apt,1,2,3,280,96,245,f
Prenzlauer Berg Nord,Pankow,5,Entire home/apt,1,3,3,149,94,360,t
Otto-Suhr-Allee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,65,92,313,f
Wedding Zentrum,Mitte,4,Entire home/apt,1,2,2,56,96,58,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1.5,3,3,135,99,354,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,3,60,97,170,f
Schmargendorf,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,58,98,316,t
Reuterstraße,Neukölln,4,Entire home/apt,1,1,2,120,95,289,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,65,97,124,f
Rixdorf,Neukölln,4,Entire home/apt,1,2,3,60,93,70,t
Schloß Charlottenburg,Charlottenburg-Wilm.,5,Entire home/apt,1,2,3,100,95,365,f
Alexanderplatz,Mitte,7,Entire home/apt,1,3,5,135,91,338,t
Altglienicke,Treptow - Köpenick,4,Private room,1,1,1,58,99,319,t
Prenzlauer Berg Nord,Pankow,3,Entire home/apt,1,1,2,57,90,201,t
Neue Kantstraße,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,45,90,336,t
Rixdorf,Neukölln,3,Entire home/apt,1,2,2,58,95,318,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,2,70,96,333,f
Prenzlauer Berg Nord,Pankow,7,Entire home/apt,2,2,6,110,94,89,f
Prenzlauer Berg Süd,Pankow,3,Entire home/apt,1,2,2,55,98,80,f
Halensee,Charlottenburg-Wilm.,5,Entire home/apt,1,1,6,83,100,90,t
Mahlsdorf,Marzahn - Hellersdorf,3,Private room,0,1,3,30,99,231,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,2,4,5,118,96,289,f
Prenzlauer Berg Süd,Pankow,3,Entire home/apt,2.5,1,1,105,95,353,f
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,1,1,1,50,100,58,t
Heerstrasse,Charlottenburg-Wilm.,4,Entire home/apt,1,1,1,200,98,267,t
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,87,89,290,t
Reuterstraße,Neukölln,3,Entire home/apt,1,1,0,57,92,258,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,3,110,96,347,f
Düsseldorfer Straße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,121,80,88,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,114,90,362,t
Schöneberg-Süd,Tempelhof - Schöneberg,6,Entire home/apt,2,3,4,95,92,288,f
Ost 1,Reinickendorf,6,Entire home/apt,1,2,5,53,87,45,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,7,Entire home/apt,1.5,3,9,150,95,98,f
Blankenfelde/Niederschönhausen,Pankow,3,Private room,0,1,2,50,97,307,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,5,Entire home/apt,1,2,4,97,96,310,t
Wedding Zentrum,Mitte,3,Entire home/apt,1,2,2,50,90,292,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,1,65,88,63,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,2,85,94,229,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,3,100,98,357,f
Alexanderplatz,Mitte,6,Entire home/apt,1.5,2,3,130,97,135,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,3,100,93,245,f
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,1,2,48,96,321,t
Wedding Zentrum,Mitte,4,Entire home/apt,1,2,2,60,87,258,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,2,2,80,96,82,t
Pankow Süd,Pankow,3,Private room,0,1,2,25,97,55,f
Neue Kantstraße,Charlottenburg-Wilm.,8,Entire home/apt,2,2,6,125,96,106,f
Helmholtzplatz,Pankow,3,Entire home/apt,1,1,1,50,86,323,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,5,Entire home/apt,1,2,4,170,98,82,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,3,6,130,84,322,t
Reuterstraße,Neukölln,4,Private room,0,1,1,26,92,56,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,2,2,85,92,290,f
MV 1,Reinickendorf,10,Entire home/apt,1,3,10,141,0,291,f
Wedding Zentrum,Mitte,6,Entire home/apt,1,1,1,59,93,358,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,60,96,71,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,3,113,90,312,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,2,119,92,345,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,3,126,89,331,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,107,90,359,t
Mierendorffplatz,Charlottenburg-Wilm.,3,Private room,0,1,2,23,95,165,f
Mierendorffplatz,Charlottenburg-Wilm.,4,Private room,0,1,4,23,92,261,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,67,94,356,f
Rixdorf,Neukölln,6,Entire home/apt,2.5,2,2,65,95,262,t
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,4,78,84,114,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,8,Entire home/apt,1,2,3,110,89,115,t
Prenzlauer Berg Süd,Pankow,4,Entire home/apt,1,3,3,62,92,260,f
Reuterstraße,Neukölln,4,Private room,1,2,3,125,84,362,f
Alexanderplatz,Mitte,4,Entire home/apt,2,1,2,360,97,362,f
Moabit West,Mitte,6,Entire home/apt,1,2,6,95,97,365,f
Neuköllner Mitte/Zentrum,Neukölln,6,Private room,0,1,3,28,88,300,f
Kantstraße,Charlottenburg-Wilm.,5,Entire home/apt,1,2,5,164,100,205,f
Helmholtzplatz,Pankow,9,Entire home/apt,2,4,7,183,97,328,t
Alexanderplatz,Mitte,3,Entire home/apt,1,2,1,90,100,90,f
Brunnenstr. Nord,Mitte,4,Entire home/apt,1,1,4,46,88,84,t
Alexanderplatz,Mitte,5,Entire home/apt,1,2,2,130,94,353,f
Prenzlauer Berg Nord,Pankow,5,Entire home/apt,1,2,5,130,97,196,f
Schöneberg-Nord,Tempelhof - Schöneberg,6,Private room,0,2,3,55,97,170,f
Alexanderplatz,Mitte,6,Shared room,0,1,0,14,91,103,f
Alexanderplatz,Mitte,4,Shared room,0,1,0,22,93,99,f
Alexanderplatz,Mitte,6,Shared room,0,1,0,17,93,168,t
Mierendorffplatz,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,88,94,318,f
Brunnenstr. Nord,Mitte,4,Private room,0,2,4,93,90,363,f
Reuterstraße,Neukölln,4,Entire home/apt,1.5,2,3,57,100,103,f
Schöneberg-Süd,Tempelhof - Schöneberg,5,Private room,0,2,4,95,100,260,f
Prenzlauer Berg Süd,Pankow,6,Private room,0,1,3,37.14,95,37,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,69,85,364,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,47,82,337,t
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,4,120,94,115,f
Reuterstraße,Neukölln,3,Private room,0,2,0,90,96,157,f
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,1,2,2,95,97,297,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,8,Entire home/apt,2,3,7,145,90,352,t
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,2,2,80,97,170,f
Wedding Zentrum,Mitte,3,Entire home/apt,1,1,2,70,93,107,f
Reuterstraße,Neukölln,5,Entire home/apt,1,2,2,79,92,121,f
Alexanderplatz,Mitte,4,Entire home/apt,1,2,3,80,95,339,t
Neuköllner Mitte/Zentrum,Neukölln,3,Entire home/apt,1,1,2,57,92,267,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,7,Entire home/apt,1,3,7,162.14,90,355,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Private room,0,1,1,22,88,338,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,2,3,6,113,94,53,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,5,55,96,206,t
