neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Pankow Süd,Pankow,3,Entire home/apt,1,2,1,55,95,261,f
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,1,1,53,97,217,t
Lichtenrade,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,102,99,356,t
Prenzlauer Berg Nord,Pankow,7,Entire home/apt,1,3,4,150,97,83,f
Nord 2,Reinickendorf,8,Private room,0,1,1,110,0,365,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,1,90,91,178,f
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,1,2,42,0,77,f
West 1,Reinickendorf,4,Entire home/apt,2,2,2,880,0,91,f
West 2,Reinickendorf,4,Entire home/apt,1.5,2,3,40,92,103,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,135,96,202,f
Alexanderplatz,Mitte,6,Entire home/apt,1.5,3,3,60,96,186,f
Alexanderplatz,Mitte,6,Shared room,0,1,0,18,95,107,f
Tempelhof,Tempelhof - Schöneberg,4,Entire home/apt,1,2,2,118,0,71,t
Spandau Mitte,Spandau,4,Entire home/apt,1,2,3,37,100,353,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,3,6,140,94,106,t
Zehlendorf  Nord,Steglitz - Zehlendorf,6,Entire home/apt,2,3,4,139,99,38,f
Alexanderplatz,Mitte,4,Private room,0,1,0,52,91,365,f
Westend,Charlottenburg-Wilm.,5,Entire home/apt,2,4,4,140,100,46,f
West 4,Reinickendorf,4,Entire home/apt,1,1,2,36,0,201,f
Marzahn-Süd,Marzahn - Hellersdorf,7,Entire home/apt,1.5,2,7,169,96,365,t
Marzahn-Süd,Marzahn - Hellersdorf,5,Entire home/apt,1,1,5,102,100,365,t
Marzahn-Süd,Marzahn - Hellersdorf,5,Entire home/apt,1,1,5,102,84,365,t
Alexanderplatz,Mitte,4,Entire home/apt,2,2,2,320,98,142,t
Prenzlauer Berg Ost,Pankow,6,Entire home/apt,2.5,3,3,150,100,64,f
Schillerpromenade,Neukölln,4,Entire home/apt,1,2,4,95,100,82,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,90,93,365,f
Barstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,85,93,60,f
Schillerpromenade,Neukölln,3,Private room,0,1,1,27,97,64,f
Neuköllner Mitte/Zentrum,Neukölln,8,Entire home/apt,1,2,6,240,0,270,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,8,Entire home/apt,1,3,4,56,93,56,t
Kurfürstendamm,Charlottenburg-Wilm.,5,Entire home/apt,2.5,2,2,419.66,100,292,f
Fennpfuhl,Lichtenberg,4,Private room,0,1,1,25,97,84,f
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,3,3,83,99,271,t
Alexanderplatz,Mitte,4,Entire home/apt,1,2,2,70,92,253,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,6,135,81,356,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,5,Entire home/apt,1,1,5,64,96,285,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,4,81,90,194,f
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,88,98,192,t
Nord 1,Reinickendorf,3,Private room,0,1,1,45,98,90,t
Osloer Straße,Mitte,4,Private room,0,2,3,103,97,351,f
Lichtenrade,Tempelhof - Schöneberg,5,Entire home/apt,1,2,7,46,93,199,t
Alexanderplatz,Mitte,4,Entire home/apt,1,2,3,120,0,268,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,3,Private room,0,1,2,27,99,43,f
Pankow Zentrum,Pankow,4,Entire home/apt,1,1,2,50,96,78,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,3,100,86,352,f
Pankow Süd,Pankow,4,Entire home/apt,1,1,3,70,97,253,f
Moabit Ost,Mitte,10,Entire home/apt,1,4,5,57,92,55,t
Gatow / Kladow,Spandau,3,Entire home/apt,1,1,3,45,89,291,t
Prenzlauer Berg Nordwest,Pankow,3,Entire home/apt,1,2,2,80,100,45,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,56,94,289,f
Prenzlauer Berg Süd,Pankow,3,Private room,1.5,1,2,70,81,89,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,2,3,6,200,0,364,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,32,87,168,f
Volkspark Wilmersdorf,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,65,100,258,f
Helmholtzplatz,Pankow,4,Entire home/apt,2.5,3,4,150,99,91,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,89,98,44,f
Rixdorf,Neukölln,3,Private room,0,1,2,34,98,89,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,46.57,96,249,f
Prenzlauer Berg Süd,Pankow,4,Entire home/apt,1,2,2,150,100,362,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,1,70,93,167,f
Alexanderplatz,Mitte,6,Entire home/apt,1,3,6,233,93,350,t
Neu Lichtenberg,Lichtenberg,4,Entire home/apt,1,1,1,70,100,177,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,3,6,70,96,60,f
Neu Lichtenberg,Lichtenberg,3,Private room,0,1,1,55,95,50,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,2,60,94,269,f
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,1,1,56,100,337,f
Parkviertel,Mitte,6,Entire home/apt,1,2,3,85,92,273,t
Spandau Mitte,Spandau,3,Hotel room,1,2,2,252,92,323,t
Otto-Suhr-Allee,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,90,100,350,f
Ost 1,Reinickendorf,3,Entire home/apt,1,1,1,45,96,228,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,2,2,149,100,101,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,69,95,44,t
Halensee,Charlottenburg-Wilm.,5,Entire home/apt,2.5,1,3,100,86,167,f
Alexanderplatz,Mitte,6,Entire home/apt,2,2,3,250,98,73,t
Prenzlauer Berg Südwest,Pankow,5,Entire home/apt,1,2,2,230,94,365,f
Prenzlauer Berg Nordwest,Pankow,7,Entire home/apt,2.5,4,6,227.86,100,262,t
Prenzlauer Berg Nord,Pankow,6,Entire home/apt,1,2,4,78,94,350,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,90,92,355,f
Prenzlauer Berg Nordwest,Pankow,5,Hotel room,1,2,4,73,88,218,t
Schöneberg-Süd,Tempelhof - Schöneberg,6,Entire home/apt,0,3,3,250,100,49,f
Regierungsviertel,Mitte,3,Entire home/apt,2,1,2,120,100,124,t
Prenzlauer Berg Süd,Pankow,10,Entire home/apt,1,2,6,146,97,325,t
Kantstraße,Charlottenburg-Wilm.,8,Entire home/apt,2,4,4,160,0,260,t
Hakenfelde,Spandau,4,Entire home/apt,2,2,4,70,99,361,t
Karlshorst,Lichtenberg,3,Entire home/apt,1,2,3,80,95,83,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,5,Entire home/apt,1,1,2,72,93,347,t
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,1,1,95,100,179,f
Zehlendorf  Südwest,Steglitz - Zehlendorf,4,Entire home/apt,1.5,2,4,90,0,365,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Private room,1.5,2,3,80,80,320,f
Marzahn-Süd,Marzahn - Hellersdorf,3,Private room,0,1,3,50,95,363,t
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,3,200,100,179,f
Wilhelmstadt,Spandau,4,Entire home/apt,1,2,4,39,100,298,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,83,365,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,86,365,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,80,365,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,89,361,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,7,Entire home/apt,2,2,6,75,87,342,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,2,2,5,71,93,322,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,7,Entire home/apt,2,2,6,70,91,331,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,57,91,343,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,3,64,93,356,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,3,64,91,353,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,89,365,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,65,85,357,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,64,88,365,t
Brunnenstr. Nord,Mitte,4,Private room,0,1,0,38,89,292,t
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,2,48,94,353,t
Mierendorffplatz,Charlottenburg-Wilm.,4,Entire home/apt,1,1,1,79,92,167,t
Halensee,Charlottenburg-Wilm.,4,Entire home/apt,2.5,2,2,190,100,173,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1.5,1,4,65,99,336,t
Alexanderplatz,Mitte,6,Entire home/apt,1,3,4,168,97,192,f
Wilhelmstadt,Spandau,4,Entire home/apt,1,2,4,37,100,362,f
Moabit Ost,Mitte,5,Entire home/apt,1,2,2,100,98,106,f
Schillerpromenade,Neukölln,3,Entire home/apt,1,2,2,90,99,91,t
Alexanderplatz,Mitte,6,Shared room,0,1,0,15,92,107,f
Prenzlauer Berg Süd,Pankow,4,Private room,0,2,6,69,99,137,f
Osloer Straße,Mitte,11,Entire home/apt,2,8,6,180,100,104,f
West 3,Reinickendorf,5,Entire home/apt,2,2,2,79,88,170,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,8,Entire home/apt,1.5,2,6,129,95,348,t
Adlershof,Treptow - Köpenick,4,Private room,0,1,1,49,98,365,t
Drakestr.,Steglitz - Zehlendorf,4,Entire home/apt,1,2,2,71,90,179,f
Schillerpromenade,Neukölln,8,Entire home/apt,1,2,7,92,94,320,t
Prenzlauer Berg Südwest,Pankow,8,Entire home/apt,1,3,8,282,94,341,t
Adlershof,Treptow - Köpenick,6,Entire home/apt,1,2,4,58.57,92,349,f
Moabit Ost,Mitte,6,Entire home/apt,1,2,3,64,91,76,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,82,99,42,f
Parkviertel,Mitte,3,Shared room,0,1,3,33,92,179,f
Alexanderplatz,Mitte,4,Entire home/apt,1.5,2,2,135,96,151,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,4,52,95,309,t
Parkviertel,Mitte,4,Entire home/apt,1,1,4,67,90,168,t
Charlottenburg Nord,Charlottenburg-Wilm.,5,Entire home/apt,1,2,5,95,97,323,f
Osloer Straße,Mitte,4,Entire home/apt,1,1,1,80,97,80,f
Schöneberg-Süd,Tempelhof - Schöneberg,5,Entire home/apt,1,2,4,140,89,336,t
Otto-Suhr-Allee,Charlottenburg-Wilm.,3,Private room,0,1,2,38,97,89,t
Oberschöneweide,Treptow - Köpenick,4,Private room,0,1,2,39,0,291,f
Schillerpromenade,Neukölln,4,Private room,1.5,1,2,39,98,87,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,53,92,196,t
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,45,88,199,t
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,53,89,191,t
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,53,86,200,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,3,100,98,352,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,51,89,197,t
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,50,88,196,t
Schöneberg-Süd,Tempelhof - Schöneberg,5,Entire home/apt,1,2,2,75,0,89,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,2,3,2,220,98,155,f
Regierungsviertel,Mitte,4,Entire home/apt,2,2,2,130,100,363,t
Schillerpromenade,Neukölln,3,Entire home/apt,1,1,2,65,100,288,f
Schöneberg-Süd,Tempelhof - Schöneberg,3,Entire home/apt,1,2,3,85,100,193,f
Volkspark Wilmersdorf,Charlottenburg-Wilm.,4,Entire home/apt,1,1,3,65,99,348,t
Alexanderplatz,Mitte,4,Entire home/apt,1.5,2,2,100,95,341,f
Regierungsviertel,Mitte,4,Hotel room,1,1,1,52,83,338,t
Moabit West,Mitte,3,Entire home/apt,1,1,1,36,97,87,t
Düsseldorfer Straße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,74,99,60,t
Alexanderplatz,Mitte,4,Hotel room,1.5,1,1,368,100,287,t
Rixdorf,Neukölln,3,Entire home/apt,1,1,2,74,98,59,t
Helmholtzplatz,Pankow,4,Entire home/apt,1,2,1,74,100,42,t
Brunnenstr. Süd,Mitte,6,Entire home/apt,2,2,4,140,0,358,f
Alexanderplatz,Mitte,3,Entire home/apt,0,1,0,59,80,76,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Entire home/apt,1.5,1,2,45,0,86,f
Heerstrasse,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,50,100,229,f
Grunewald,Charlottenburg-Wilm.,7,Entire home/apt,1,3,5,96,99,80,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,4,75,91,363,f
Otto-Suhr-Allee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,85,97,305,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,36,94,338,t
nördliche Luisenstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,3,32,81,90,t
Parkviertel,Mitte,3,Private room,0,1,1,28,99,176,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,1.5,3,4,136,98,338,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,4,69,0,90,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,49,0,365,f
Heerstrasse,Charlottenburg-Wilm.,5,Private room,0,2,5,100,80,361,t
Heerstrasse,Charlottenburg-Wilm.,3,Private room,0,1,3,51,100,86,t
Neu Lichtenberg,Lichtenberg,3,Entire home/apt,1,1,3,41,90,291,t
Heerstrasse,Charlottenburg-Wilm.,3,Private room,0,1,2,51,100,361,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,1,60,100,108,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,4,55,97,301,t
Neue Kantstraße,Charlottenburg-Wilm.,3,Hotel room,1,1,1,180,0,357,t
Halensee,Charlottenburg-Wilm.,4,Hotel room,1,1,1,210,100,361,t
Neue Kantstraße,Charlottenburg-Wilm.,4,Hotel room,1,1,1,230,0,361,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1.5,1,2,107,100,151,f
Alexanderplatz,Mitte,6,Entire home/apt,2,3,3,156,100,105,f
Friedenau,Tempelhof - Schöneberg,4,Hotel room,1,1,2,105,100,336,t
Friedenau,Tempelhof - Schöneberg,3,Private room,0,1,2,35,93,90,f
Schillerpromenade,Neukölln,3,Entire home/apt,1,1,3,50,97,354,f
Alexanderplatz,Mitte,3,Entire home/apt,1,1,2,76,90,224,f
Bohnsdorf,Treptow - Köpenick,6,Entire home/apt,1,2,3,65,98,343,t
Wilhelmstadt,Spandau,5,Entire home/apt,1,2,5,41,95,348,f
Alexanderplatz,Mitte,3,Entire home/apt,1,1,2,63.57,99,30,t
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,1,2,57,96,70,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,45,0,179,t
Regierungsviertel,Mitte,4,Entire home/apt,1,2,4,70,0,177,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,2,3,79,95,37,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,4,72,0,178,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,3,75,0,178,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,2,60,100,232,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,7,Entire home/apt,2,1,7,103,97,307,t
Alt-Hohenschönhausen Süd,Lichtenberg,6,Entire home/apt,1,2,5,93,95,292,t
Alexanderplatz,Mitte,4,Hotel room,1,1,2,66,96,339,t
Drakestr.,Steglitz - Zehlendorf,4,Entire home/apt,1,1,1,79,99,161,f
Tiergarten Süd,Mitte,4,Hotel room,1,1,3,73,93,365,t
Friedenau,Tempelhof - Schöneberg,4,Hotel room,1,1,3,84,100,364,t
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,3,120,97,318,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,1,3,56,98,71,f
Neu Lichtenberg,Lichtenberg,4,Hotel room,1,1,0,93,0,255,t
Neuköllner Mitte/Zentrum,Neukölln,3,Entire home/apt,1,1,2,66,99,65,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,2,3,3,250,90,359,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,114,97,362,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,8,Entire home/apt,0,4,0,350,91,352,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,119,0,362,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,114,97,362,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,119,93,362,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,114,96,362,t
Alexanderplatz,Mitte,5,Entire home/apt,1,2,2,190,97,159,f
Brunnenstr. Süd,Mitte,5,Entire home/apt,1.5,2,2,249,98,178,f
Weißensee Ost,Pankow,6,Entire home/apt,1,2,4,54,92,72,t
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,3,80,98,329,t
Düsseldorfer Straße,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,65,0,365,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,56,95,53,t
Alexanderplatz,Mitte,7,Entire home/apt,1,3,3,135,83,60,t
Britz,Neukölln,4,Entire home/apt,1,1,0,48,87,355,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,107,90,89,f
Prenzlauer Berg Nordwest,Pankow,3,Private room,1,1,2,100,0,328,t
Prenzlauer Berg Nordwest,Pankow,4,Private room,1,1,2,110,100,328,t
Prenzlauer Berg Nordwest,Pankow,3,Private room,1,1,2,75,0,355,t
Prenzlauer Berg Nordwest,Pankow,4,Private room,0,1,2,80,0,351,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,125,95,46,t
Schöneberg-Nord,Tempelhof - Schöneberg,5,Entire home/apt,2,3,3,83,97,256,t
Prenzlauer Berg Nord,Pankow,5,Entire home/apt,1,1,3,51,97,75,t
Prenzlauer Berg Nordwest,Pankow,3,Entire home/apt,1,1,2,53,96,72,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,3,130,100,73,f
Brunnenstr. Süd,Mitte,6,Entire home/apt,2,3,4,203,93,306,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,149,100,351,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,171,100,349,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,2,110,93,53,f
Prenzlauer Berg Ost,Pankow,4,Entire home/apt,1.5,1,2,54,97,72,t
Brunnenstr. Nord,Mitte,6,Entire home/apt,2,2,6,65,90,141,f
Heerstrasse,Charlottenburg-Wilm.,3,Entire home/apt,1,2,4,81,94,162,f
Alexanderplatz,Mitte,4,Entire home/apt,2,2,2,944,0,254,t
Alexanderplatz,Mitte,6,Entire home/apt,2,3,3,844,100,291,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,55,80,332,t
Mariendorf,Tempelhof - Schöneberg,4,Entire home/apt,1,1,2,75,100,354,t
Schillerpromenade,Neukölln,4,Entire home/apt,1,1,2,94.29,98,267,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,185,100,348,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,188,80,351,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,220,100,278,t
Brunnenstr. Süd,Mitte,6,Entire home/apt,2.5,3,3,527,100,311,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1.5,1,2,111,60,87,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Private room,0,1,2,32,94,313,t
Regierungsviertel,Mitte,4,Entire home/apt,1,3,4,75,96,238,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,3,99,100,104,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,52,95,82,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,2,2,2,324,100,89,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Private room,0,1,2,41,100,305,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,67,100,136,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,2,100,100,201,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,115,90,89,f
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,10,Entire home/apt,2,4,5,104,94,354,t
Alexanderplatz,Mitte,3,Entire home/apt,1,1,2,68,81,354,t
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,12,Entire home/apt,2.5,4,6,111,87,359,t
Blankenfelde/Niederschönhausen,Pankow,3,Private room,0,1,2,28,93,90,f
Blankenfelde/Niederschönhausen,Pankow,4,Entire home/apt,1,3,4,90,98,167,t
Prenzlauer Berg Süd,Pankow,5,Entire home/apt,1,1,2,80,0,57,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,2,140,0,344,f
Biesdorf,Marzahn - Hellersdorf,5,Entire home/apt,1,1,3,60,99,79,t
Prenzlauer Berg Nordwest,Pankow,5,Entire home/apt,1,1,4,155,0,72,f
Wedding Zentrum,Mitte,6,Entire home/apt,1,2,2,89,97,352,f
Lichtenrade,Tempelhof - Schöneberg,4,Entire home/apt,1,1,3,59,84,67,f
Halensee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,104,96,62,f
Halensee,Charlottenburg-Wilm.,5,Entire home/apt,2,2,3,156,98,48,f
Neue Kantstraße,Charlottenburg-Wilm.,3,Entire home/apt,1,1,3,80,88,283,t
Alexanderplatz,Mitte,4,Hotel room,1,1,2,101.86,93,361,t
Brunnenstr. Süd,Mitte,6,Hotel room,1,2,3,129,93,365,t
Alexanderplatz,Mitte,7,Hotel room,1,3,4,205,98,365,t
Alexanderplatz,Mitte,10,Hotel room,2,2,2,275,96,354,t
Brunnenstr. Nord,Mitte,5,Private room,0,1,3,60,96,361,t
Alexanderplatz,Mitte,3,Entire home/apt,1,1,1,85,98,63,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,64,97,279,t
Alexanderplatz,Mitte,3,Entire home/apt,1,2,3,90,80,363,f
Mierendorffplatz,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,72,95,364,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,2,2,74,87,361,f
Kurfürstendamm,Charlottenburg-Wilm.,6,Entire home/apt,1,1,0,69,86,341,t
Pankow Zentrum,Pankow,12,Entire home/apt,2,4,6,114,93,58,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,2,25,99,63,f
Schöneberg-Süd,Tempelhof - Schöneberg,3,Entire home/apt,1,1,1,79,100,204,f
Schillerpromenade,Neukölln,4,Entire home/apt,1.5,1,2,80,95,69,t
Pankow Zentrum,Pankow,6,Entire home/apt,2,2,4,196,92,48,t
Moabit West,Mitte,3,Private room,0,1,2,32,86,177,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,120,100,292,t
Marzahn-Süd,Marzahn - Hellersdorf,3,Entire home/apt,1,1,3,66,99,44,f
Alexanderplatz,Mitte,6,Shared room,0,1,6,17,94,186,t
Alexanderplatz,Mitte,6,Shared room,0,1,0,47,96,105,f
Alexanderplatz,Mitte,4,Shared room,0,1,0,19,95,155,t
Schillerpromenade,Neukölln,5,Entire home/apt,1,2,2,82,97,131,f
Moabit Ost,Mitte,4,Entire home/apt,1,2,2,80,100,250,f
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,2.5,2,2,194,0,331,f
Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,70,0,90,t
Kaulsdorf,Marzahn - Hellersdorf,3,Private room,0,1,1,25,94,82,t
Rixdorf,Neukölln,4,Entire home/apt,1,2,2,110,100,260,t
Düsseldorfer Straße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,3,92,100,167,f
Neu Lichtenberg,Lichtenberg,3,Private room,0,1,1,32,100,90,f
Pankow Süd,Pankow,5,Entire home/apt,1,1,2,54,95,72,t
Alexanderplatz,Mitte,6,Shared room,0,1,0,37,85,105,f
Alexanderplatz,Mitte,4,Private room,0,1,0,51,94,96,f
Reuterstraße,Neukölln,4,Entire home/apt,0,2,2,140,100,61,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,5,Shared room,0,1,0,694,93,365,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Private room,0,1,1,60,96,83,f
Teltower Damm,Steglitz - Zehlendorf,5,Entire home/apt,1,2,2,80,100,82,t
Otto-Suhr-Allee,Charlottenburg-Wilm.,5,Entire home/apt,1,2,3,70,95,37,t
Ost 2,Reinickendorf,4,Entire home/apt,1,1,2,113,96,127,t
Alexanderplatz,Mitte,7,Entire home/apt,1.5,2,6,204,92,50,f
Moabit West,Mitte,3,Entire home/apt,1,1,1,119,98,159,t
Schöneberg-Süd,Tempelhof - Schöneberg,5,Entire home/apt,1,2,4,150,100,196,f
Weißensee,Pankow,6,Entire home/apt,1,2,4,72,94,345,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,3,74,97,280,f
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,2,3,84.19,98,355,t
